,0
33,"ARIMA(2, 0, 1) x (0, 0, 0, 0) 12 - AIC:181.8549229786841 - p-value:ar.L1     1.153734e-04
ar.L2     5.832079e-01
ma.L1     2.829606e-01
sigma2    6.960785e-22
dtype: float64"
34,"ARIMA(2, 0, 2) x (0, 0, 0, 0) 12 - AIC:181.8921915146662 - p-value:ar.L1     3.588532e-05
ar.L2     7.309936e-02
ma.L1     5.711418e-01
ma.L2     1.635538e-01
sigma2    3.213502e-22
dtype: float64"
35,"ARIMA(2, 0, 3) x (0, 0, 0, 0) 12 - AIC:181.78473979854033 - p-value:ar.L1     0.519224
ar.L2     0.000011
ma.L1     0.989353
ma.L2     0.989973
ma.L3     0.992407
sigma2    0.992400
dtype: float64"
36,"ARIMA(2, 1, 0) x (0, 0, 0, 0) 12 - AIC:185.6922107712091 - p-value:ar.L1     6.129988e-05
ar.L2     7.749813e-02
sigma2    9.420678e-31
dtype: float64"
37,"ARIMA(2, 1, 1) x (0, 0, 0, 0) 12 - AIC:185.9313323603645 - p-value:ar.L1     9.061444e-05
ar.L2     3.975469e-03
ma.L1     1.464057e-02
sigma2    4.029882e-23
dtype: float64"
38,"ARIMA(2, 1, 2) x (0, 0, 0, 0) 12 - AIC:182.5578161909505 - p-value:ar.L1     0.000202
ar.L2     0.525196
ma.L1     0.999634
ma.L2     0.999483
sigma2    0.999483
dtype: float64"
39,"ARIMA(2, 1, 3) x (0, 0, 0, 0) 12 - AIC:164.3555516883659 - p-value:ar.L1     3.388046e-112
ar.L2      8.354990e-78
ma.L1      9.965755e-01
ma.L2      9.986167e-01
ma.L3      9.978426e-01
sigma2     9.978427e-01
dtype: float64"
40,"ARIMA(2, 2, 0) x (0, 0, 0, 0) 12 - AIC:209.95134580390226 - p-value:ar.L1     2.646028e-02
ar.L2     7.774325e-04
sigma2    3.349340e-26
dtype: float64"
41,"ARIMA(2, 2, 1) x (0, 0, 0, 0) 12 - AIC:190.77687819506545 - p-value:ar.L1     0.000571
ar.L2     0.058708
ma.L1     0.999206
sigma2    0.999206
dtype: float64"
42,"ARIMA(2, 2, 2) x (0, 0, 0, 0) 12 - AIC:188.4161270491503 - p-value:ar.L1     0.703736
ar.L2     0.999882
ma.L1     0.998980
ma.L2     0.998176
sigma2    0.998176
dtype: float64"
43,"ARIMA(2, 2, 3) x (0, 0, 0, 0) 12 - AIC:186.28348140821913 - p-value:ar.L1     0.615197
ar.L2     0.539616
ma.L1     0.999950
ma.L2     0.999710
ma.L3     0.999510
sigma2    0.999510
dtype: float64"
44,"ARIMA(2, 3, 0) x (0, 0, 0, 0) 12 - AIC:250.91553665562958 - p-value:ar.L1     3.233029e-20
ar.L2     1.157969e-18
sigma2    1.025746e-51
dtype: float64"
45,"ARIMA(2, 3, 1) x (0, 0, 0, 0) 12 - AIC:214.67222002629921 - p-value:ar.L1     0.061564
ar.L2     0.007000
ma.L1     0.999282
sigma2    0.999282
dtype: float64"
46,"ARIMA(2, 3, 2) x (0, 0, 0, 0) 12 - AIC:195.18242639413162 - p-value:ar.L1     0.059360
ar.L2     0.132098
ma.L1     0.999509
ma.L2     0.999755
sigma2    0.999755
dtype: float64"
47,"ARIMA(2, 3, 3) x (0, 0, 0, 0) 12 - AIC:190.06396383575714 - p-value:ar.L1     8.888315e-07
ar.L2     1.311617e-01
ma.L1     9.999531e-01
ma.L2     9.994706e-01
ma.L3     9.999539e-01
sigma2    9.999539e-01
dtype: float64"
48,"ARIMA(3, 0, 0) x (0, 0, 0, 0) 12 - AIC:180.7276553586328 - p-value:ar.L1     1.140293e-63
ar.L2     3.494042e-03
ar.L3     2.688125e-01
sigma2    1.200480e-21
dtype: float64"
49,"ARIMA(3, 0, 1) x (0, 0, 0, 0) 12 - AIC:182.6148767260093 - p-value:ar.L1     1.342972e-01
ar.L2     7.702258e-01
ar.L3     8.587078e-01
ma.L1     7.348039e-01
sigma2    2.363408e-21
dtype: float64"
50,"ARIMA(3, 0, 2) x (0, 0, 0, 0) 12 - AIC:183.07881190269876 - p-value:ar.L1     5.235844e-01
ar.L2     3.080754e-13
ar.L3     3.073951e-01
ma.L1     9.974293e-01
ma.L2     9.977363e-01
sigma2    9.977412e-01
dtype: float64"
51,"ARIMA(3, 0, 3) x (0, 0, 0, 0) 12 - AIC:177.5352871739105 - p-value:ar.L1     4.535616e-04
ar.L2     1.203193e-05
ar.L3     9.798716e-17
ma.L1     9.982290e-01
ma.L2     9.995733e-01
ma.L3     9.995984e-01
sigma2    9.995984e-01
dtype: float64"
52,"ARIMA(3, 1, 0) x (0, 0, 0, 0) 12 - AIC:185.32662030671014 - p-value:ar.L1     6.276884e-05
ar.L2     1.003537e-01
ar.L3     7.831904e-01
sigma2    5.209065e-31
dtype: float64"
53,"ARIMA(3, 1, 1) x (0, 0, 0, 0) 12 - AIC:184.48613817891712 - p-value:ar.L1     4.448926e-03
ar.L2     1.917960e-02
ar.L3     8.907963e-01
ma.L1     7.446474e-02
sigma2    7.983412e-25
dtype: float64"
54,"ARIMA(3, 1, 2) x (0, 0, 0, 0) 12 - AIC:184.55782463256938 - p-value:ar.L1     0.099864
ar.L2     0.793079
ar.L3     0.999979
ma.L1     0.999674
ma.L2     0.999540
sigma2    0.999540
dtype: float64"
55,"ARIMA(3, 1, 3) x (0, 0, 0, 0) 12 - AIC:165.73335296076655 - p-value:ar.L1     0.000040
ar.L2     0.147122
ar.L3     0.401193
ma.L1     0.993717
ma.L2     0.998375
ma.L3     0.995449
sigma2    0.995449
dtype: float64"
56,"ARIMA(3, 2, 0) x (0, 0, 0, 0) 12 - AIC:203.76363978935711 - p-value:ar.L1     2.086750e-03
ar.L2     1.115515e-05
ar.L3     2.950525e-02
sigma2    4.469945e-27
dtype: float64"
57,"ARIMA(3, 2, 1) x (0, 0, 0, 0) 12 - AIC:189.39496340684272 - p-value:ar.L1     0.011217
ar.L2     0.098631
ar.L3     0.941565
ma.L1     0.999733
sigma2    0.999733
dtype: float64"
58,"ARIMA(3, 2, 2) x (0, 0, 0, 0) 12 - AIC:190.5117967045085 - p-value:ar.L1     4.780483e-08
ar.L2     2.846102e-01
ar.L3     1.363549e-01
ma.L1     1.000000e+00
ma.L2     9.995084e-01
sigma2    9.995084e-01
dtype: float64"
59,"ARIMA(3, 2, 3) x (0, 0, 0, 0) 12 - AIC:167.9942932523862 - p-value:ar.L1     1.234230e-24
ar.L2     1.312102e-05
ar.L3     6.498166e-01
ma.L1     5.395532e-37
ma.L2     5.759872e-10
ma.L3     5.195998e-04
sigma2    7.193048e-08
dtype: float64"
60,"ARIMA(3, 3, 0) x (0, 0, 0, 0) 12 - AIC:237.5176372600613 - p-value:ar.L1     1.341881e-15
ar.L2     1.800758e-06
ar.L3     1.914050e-02
sigma2    1.414953e-61
dtype: float64"
61,"ARIMA(3, 3, 1) x (0, 0, 0, 0) 12 - AIC:208.43555750403476 - p-value:ar.L1     0.021227
ar.L2     0.000416
ar.L3     0.138015
ma.L1     0.998872
sigma2    0.998872
dtype: float64"
62,"ARIMA(3, 3, 2) x (0, 0, 0, 0) 12 - AIC:211.6190803031801 - p-value:ar.L1     1.052501e-11
ar.L2     2.610154e-03
ar.L3     6.779496e-03
ma.L1     9.999236e-01
ma.L2     9.995941e-01
sigma2    9.995941e-01
dtype: float64"
63,"ARIMA(3, 3, 3) x (0, 0, 0, 0) 12 - AIC:194.59544852943972 - p-value:ar.L1     1.178315e-05
ar.L2     4.201903e-09
ar.L3     9.496609e-02
ma.L1     9.999867e-01
ma.L2     9.999883e-01
ma.L3     9.999114e-01
sigma2    9.999114e-01
dtype: float64"
